Instance ID,Image File,Vertices,Designator
0,pcb_39b_cc_13.png,"[[[2027, 2645], [2067, 2643], [2070, 2641], [2071, 2640], [2071, 2638], [2071, 2614], [2070, 2612], [2069, 2611], [2067, 2610], [2021, 2611], [2012, 2611], [2008, 2613], [2007, 2613], [2007, 2615], [2006, 2641], [2008, 2643], [2009, 2644], [2012, 2644], [2017, 2644]]]",C
1,pcb_39b_cc_13.png,"[[[1839, 3559], [1840, 3556], [1841, 3554], [1842, 3553], [1908, 3553], [1911, 3554], [1912, 3555], [1912, 3559], [1926, 3560], [1932, 3562], [1932, 3582], [1930, 3583], [1908, 3583], [1903, 3583], [1899, 3584], [1899, 3593], [1904, 3595], [1909, 3597], [1929, 3596], [1933, 3598], [1933, 3616], [1931, 3619], [1913, 3619], [1903, 3619], [1899, 3621], [1899, 3630], [1904, 3632], [1929, 3632], [1932, 3633], [1933, 3654], [1928, 3655], [1920, 3655], [1904, 3654], [1899, 3656], [1901, 3666], [1909, 3668], [1931, 3669], [1933, 3671], [1933, 3690], [1928, 3691], [1914, 3689], [1911, 3691], [1911, 3697], [1909, 3698], [1907, 3698], [1850, 3699], [1846, 3698], [1844, 3697], [1844, 3692], [1832, 3692], [1824, 3691], [1820, 3689], [1820, 3670], [1823, 3668], [1846, 3670], [1855, 3669], [1856, 3664], [1855, 3655], [1829, 3656], [1820, 3655], [1821, 3633], [1830, 3632], [1848, 3634], [1855, 3632], [1856, 3627], [1854, 3621], [1835, 3621], [1820, 3620], [1820, 3596], [1828, 3597], [1851, 3598], [1855, 3595], [1855, 3584], [1831, 3585], [1819, 3584], [1819, 3560], [1830, 3560]]]",RN
2,pcb_39b_cc_13.png,"[[[1491, 3298], [1492, 3312], [1492, 3361], [1491, 3362], [1490, 3363], [1489, 3363], [1459, 3363], [1458, 3363], [1458, 3363], [1457, 3362], [1457, 3300], [1457, 3298], [1457, 3297], [1459, 3296], [1489, 3296], [1490, 3296], [1491, 3297]]]",R
3,pcb_39b_cc_13.png,"[[[1671, 3298], [1671, 3311], [1671, 3360], [1671, 3361], [1670, 3362], [1668, 3362], [1639, 3363], [1638, 3362], [1637, 3362], [1637, 3361], [1636, 3299], [1636, 3297], [1637, 3296], [1638, 3295], [1668, 3295], [1670, 3295], [1670, 3296]]]",R
4,pcb_39b_cc_13.png,"[[[359, 1394], [359, 1455], [358, 1456], [357, 1456], [356, 1457], [326, 1457], [325, 1457], [324, 1456], [324, 1455], [324, 1395], [324, 1393], [325, 1391], [326, 1391], [356, 1391], [358, 1391], [359, 1392]]]",R
5,pcb_39b_cc_13.png,"[[[361, 1235], [361, 1295], [360, 1296], [359, 1297], [358, 1297], [328, 1297], [327, 1297], [326, 1296], [326, 1295], [326, 1235], [326, 1234], [327, 1232], [329, 1232], [358, 1232], [360, 1232], [361, 1233]]]",R
6,pcb_39b_cc_13.png,"[[[327, 1126], [326, 1082], [326, 1079], [326, 1076], [327, 1074], [330, 1073], [354, 1073], [356, 1073], [357, 1075], [357, 1077], [357, 1080], [358, 1126], [358, 1130], [357, 1133], [356, 1136], [354, 1137], [332, 1137], [329, 1136], [328, 1133], [327, 1130]]]",C
7,pcb_39b_cc_13.png,"[[[1495, 2759], [1494, 2715], [1494, 2712], [1495, 2710], [1496, 2707], [1498, 2706], [1522, 2706], [1524, 2707], [1526, 2708], [1527, 2710], [1527, 2712], [1527, 2714], [1527, 2759], [1527, 2763], [1527, 2766], [1526, 2768], [1524, 2770], [1522, 2771], [1500, 2771], [1497, 2769], [1496, 2767], [1495, 2764]]]",C
8,pcb_39b_cc_13.png,"[[[870, 1408], [870, 1360], [871, 1358], [873, 1356], [877, 1354], [883, 1354], [889, 1354], [901, 1356], [904, 1354], [978, 1353], [984, 1354], [988, 1353], [993, 1353], [996, 1353], [997, 1354], [998, 1355], [999, 1356], [999, 1412], [998, 1413], [997, 1414], [895, 1415], [874, 1415], [873, 1415], [872, 1414], [871, 1413], [870, 1411]]]",C
9,pcb_39b_cc_13.png,"[[[1813, 2761], [1813, 2760], [1815, 2759], [1878, 2758], [1879, 2758], [1880, 2759], [1881, 2790], [1880, 2791], [1879, 2792], [1817, 2793], [1814, 2792], [1814, 2791]]]",R
