Instance ID,Image File,Vertices,Designator
0,pcb_17b_cc_11.png,"[[[655, 3128], [655, 3242], [793, 3242], [793, 3128]]]",R
1,pcb_17b_cc_11.png,"[[[2161, 2952], [2160, 2953], [2144, 2953], [2143, 2954], [2142, 2954], [2142, 2955], [2141, 2956], [2141, 3003], [2142, 3004], [2142, 3005], [2143, 3006], [2144, 3006], [2145, 3007], [2217, 3007], [2218, 3006], [2223, 3006], [2224, 3005], [2224, 3004], [2225, 3003], [2225, 2957], [2224, 2956], [2224, 2954], [2223, 2953], [2222, 2953], [2221, 2952]]]",C
2,pcb_17b_cc_11.png,"[[[2595, 859], [2595, 991], [2663, 991], [2663, 859]]]",R
3,pcb_17b_cc_11.png,"[[[2596, 1227], [2595, 1228], [2595, 1238], [2594, 1239], [2594, 1362], [2595, 1362], [2596, 1363], [2660, 1363], [2660, 1227]]]",R
4,pcb_17b_cc_11.png,"[[[2834, 807], [2834, 810], [2830, 814], [2830, 816], [2829, 817], [2829, 856], [2830, 857], [2830, 858], [2831, 859], [2831, 865], [2833, 865], [2834, 866], [2834, 879], [2832, 881], [2829, 881], [2828, 882], [2828, 885], [2827, 886], [2827, 898], [2826, 899], [2825, 899], [2822, 902], [2821, 902], [2820, 903], [2820, 904], [2817, 907], [2817, 908], [2814, 911], [2807, 911], [2804, 908], [2794, 908], [2792, 910], [2789, 910], [2787, 912], [2785, 912], [2784, 911], [2784, 910], [2778, 910], [2777, 909], [2743, 909], [2742, 908], [2738, 908], [2736, 910], [2733, 910], [2733, 912], [2732, 913], [2732, 915], [2731, 916], [2731, 921], [2732, 922], [2732, 924], [2735, 927], [2736, 927], [2737, 928], [2761, 928], [2762, 927], [2808, 927], [2810, 929], [2810, 936], [2809, 937], [2809, 938], [2807, 940], [2806, 940], [2806, 941], [2804, 943], [2793, 943], [2793, 944], [2791, 946], [2782, 946], [2781, 945], [2768, 945], [2767, 946], [2762, 946], [2761, 945], [2737, 945], [2736, 946], [2735, 946], [2733, 948], [2733, 949], [2732, 950], [2732, 951], [2731, 952], [2731, 957], [2732, 958], [2732, 960], [2736, 964], [2764, 964], [2765, 963], [2766, 963], [2766, 962], [2767, 961], [2774, 961], [2775, 962], [2781, 962], [2782, 963], [2783, 963], [2785, 965], [2785, 967], [2791, 967], [2793, 969], [2793, 979], [2791, 981], [2736, 981], [2733, 984], [2733, 985], [2732, 986], [2732, 987], [2731, 988], [2731, 993], [2732, 994], [2732, 996], [2736, 1000], [2761, 1000], [2761, 998], [2762, 997], [2765, 997], [2766, 998], [2784, 998], [2784, 997], [2785, 996], [2787, 996], [2788, 997], [2789, 997], [2791, 999], [2792, 999], [2793, 1000], [2793, 1001], [2794, 1002], [2794, 1014], [2791, 1017], [2736, 1017], [2733, 1020], [2733, 1021], [2732, 1022], [2732, 1031], [2737, 1036], [2763, 1036], [2764, 1035], [2785, 1035], [2786, 1036], [2789, 1036], [2790, 1037], [2792, 1037], [2793, 1038], [2793, 1039], [2794, 1040], [2794, 1051], [2792, 1053], [2736, 1053], [2733, 1056], [2733, 1057], [2732, 1058], [2732, 1067], [2733, 1068], [2733, 1069], [2735, 1071], [2737, 1071], [2738, 1072], [2765, 1072], [2766, 1071], [2782, 1071], [2784, 1073], [2784, 1075], [2785, 1075], [2786, 1076], [2786, 1086], [2785, 1087], [2783, 1087], [2782, 1088], [2781, 1088], [2780, 1089], [2736, 1089], [2731, 1094], [2729, 1094], [2729, 1102], [2730, 1102], [2735, 1107], [2736, 1107], [2737, 1108], [2762, 1108], [2764, 1106], [2785, 1106], [2786, 1107], [2786, 1109], [2785, 1110], [2785, 1124], [2784, 1125], [2736, 1125], [2731, 1130], [2729, 1130], [2729, 1138], [2730, 1138], [2735, 1143], [2738, 1143], [2739, 1144], [2761, 1144], [2762, 1143], [2763, 1143], [2764, 1142], [2785, 1142], [2785, 1141], [2786, 1140], [2788, 1140], [2789, 1141], [2790, 1141], [2791, 1142], [2798, 1142], [2799, 1143], [2807, 1143], [2809, 1145], [2809, 1159], [2808, 1160], [2806, 1160], [2805, 1159], [2793, 1159], [2792, 1160], [2790, 1160], [2789, 1161], [2737, 1161], [2733, 1165], [2733, 1166], [2730, 1169], [2729, 1169], [2729, 1177], [2730, 1177], [2731, 1178], [2735, 1178], [2736, 1179], [2738, 1179], [2739, 1180], [2759, 1180], [2762, 1177], [2765, 1177], [2766, 1178], [2791, 1178], [2793, 1180], [2809, 1180], [2813, 1184], [2813, 1186], [2814, 1187], [2815, 1187], [2818, 1190], [2818, 1191], [2819, 1192], [2819, 1193], [2823, 1197], [2825, 1197], [2827, 1199], [2828, 1199], [2829, 1200], [2829, 1201], [2830, 1202], [2830, 1207], [2832, 1209], [2833, 1209], [2834, 1210], [2834, 1220], [2837, 1223], [2837, 1224], [2838, 1225], [2838, 1227], [2837, 1228], [2835, 1228], [2835, 1229], [2834, 1230], [2830, 1230], [2830, 1271], [2831, 1272], [2831, 1274], [2832, 1275], [2832, 1276], [2835, 1279], [2835, 1282], [2843, 1282], [2843, 1279], [2846, 1276], [2846, 1275], [2848, 1273], [2848, 1246], [2850, 1244], [2850, 1224], [2852, 1222], [2852, 1221], [2854, 1219], [2862, 1219], [2863, 1220], [2863, 1226], [2864, 1227], [2864, 1230], [2866, 1232], [2866, 1271], [2867, 1272], [2867, 1274], [2868, 1275], [2868, 1276], [2871, 1279], [2871, 1282], [2879, 1282], [2879, 1278], [2883, 1274], [2883, 1273], [2884, 1272], [2884, 1252], [2883, 1251], [2883, 1246], [2885, 1244], [2885, 1224], [2889, 1220], [2892, 1220], [2893, 1221], [2895, 1221], [2896, 1222], [2898, 1222], [2899, 1223], [2899, 1228], [2901, 1228], [2903, 1230], [2903, 1231], [2904, 1231], [2905, 1232], [2905, 1242], [2904, 1243], [2903, 1243], [2902, 1244], [2900, 1244], [2900, 1246], [2901, 1247], [2901, 1269], [2902, 1270], [2902, 1273], [2903, 1274], [2903, 1275], [2906, 1278], [2912, 1278], [2913, 1279], [2915, 1279], [2915, 1278], [2918, 1275], [2918, 1274], [2919, 1273], [2919, 1272], [2920, 1271], [2920, 1251], [2919, 1250], [2919, 1247], [2921, 1245], [2921, 1224], [2925, 1220], [2929, 1220], [2932, 1223], [2933, 1223], [2934, 1224], [2934, 1225], [2935, 1226], [2935, 1237], [2936, 1237], [2937, 1238], [2937, 1272], [2942, 1277], [2944, 1277], [2945, 1278], [2949, 1278], [2950, 1277], [2951, 1277], [2954, 1274], [2954, 1273], [2956, 1271], [2956, 1252], [2955, 1251], [2955, 1246], [2957, 1244], [2957, 1222], [2958, 1221], [2960, 1221], [2962, 1219], [2969, 1219], [2970, 1220], [2970, 1240], [2972, 1240], [2973, 1241], [2973, 1273], [2976, 1276], [2977, 1276], [2979, 1278], [2985, 1278], [2986, 1277], [2987, 1277], [2989, 1275], [2989, 1274], [2991, 1272], [2991, 1246], [2993, 1244], [2993, 1223], [2996, 1220], [3005, 1220], [3006, 1221], [3006, 1242], [3007, 1242], [3008, 1243], [3008, 1270], [3009, 1271], [3009, 1273], [3012, 1276], [3013, 1276], [3014, 1277], [3021, 1277], [3022, 1276], [3023, 1276], [3026, 1273], [3026, 1272], [3027, 1271], [3027, 1251], [3026, 1250], [3026, 1246], [3028, 1244], [3028, 1243], [3029, 1242], [3029, 1233], [3030, 1232], [3034, 1232], [3036, 1234], [3041, 1234], [3042, 1235], [3042, 1241], [3043, 1241], [3044, 1242], [3044, 1270], [3045, 1271], [3045, 1273], [3050, 1278], [3050, 1282], [3058, 1282], [3058, 1278], [3061, 1275], [3061, 1274], [3062, 1273], [3062, 1271], [3063, 1270], [3063, 1245], [3064, 1244], [3064, 1243], [3065, 1242], [3065, 1223], [3068, 1220], [3068, 1218], [3069, 1217], [3076, 1217], [3077, 1218], [3077, 1234], [3078, 1235], [3079, 1235], [3080, 1236], [3080, 1271], [3081, 1272], [3081, 1273], [3082, 1274], [3082, 1275], [3084, 1277], [3093, 1277], [3094, 1276], [3095, 1276], [3097, 1274], [3097, 1272], [3098, 1271], [3098, 1270], [3099, 1269], [3099, 1249], [3097, 1247], [3097, 1245], [3098, 1244], [3100, 1244], [3100, 1224], [3103, 1221], [3103, 1208], [3102, 1207], [3102, 1203], [3104, 1201], [3110, 1201], [3111, 1200], [3111, 1198], [3112, 1197], [3113, 1197], [3117, 1193], [3120, 1193], [3120, 1191], [3129, 1182], [3169, 1182], [3170, 1183], [3172, 1183], [3172, 1180], [3174, 1178], [3191, 1178], [3195, 1174], [3195, 1164], [3192, 1161], [3191, 1161], [3190, 1160], [3170, 1160], [3169, 1161], [3156, 1161], [3155, 1160], [3154, 1160], [3153, 1159], [3153, 1158], [3152, 1157], [3151, 1157], [3150, 1156], [3150, 1148], [3152, 1146], [3156, 1146], [3156, 1142], [3157, 1141], [3167, 1141], [3169, 1143], [3190, 1143], [3194, 1139], [3194, 1138], [3196, 1136], [3196, 1130], [3191, 1125], [3189, 1125], [3188, 1124], [3169, 1124], [3168, 1125], [3152, 1125], [3151, 1124], [3151, 1122], [3150, 1121], [3150, 1112], [3152, 1110], [3170, 1110], [3170, 1108], [3171, 1107], [3191, 1107], [3196, 1102], [3200, 1102], [3200, 1094], [3199, 1094], [3198, 1093], [3196, 1093], [3192, 1089], [3191, 1089], [3190, 1088], [3168, 1088], [3167, 1089], [3152, 1089], [3151, 1088], [3151, 1086], [3150, 1085], [3150, 1076], [3152, 1074], [3172, 1074], [3172, 1073], [3173, 1072], [3182, 1072], [3183, 1071], [3191, 1071], [3194, 1068], [3198, 1068], [3198, 1066], [3199, 1065], [3200, 1065], [3200, 1059], [3199, 1059], [3198, 1058], [3198, 1056], [3197, 1055], [3194, 1055], [3193, 1054], [3192, 1054], [3191, 1053], [3190, 1053], [3189, 1052], [3168, 1052], [3167, 1053], [3153, 1053], [3152, 1052], [3152, 1049], [3151, 1048], [3151, 1040], [3153, 1038], [3172, 1038], [3172, 1037], [3173, 1036], [3180, 1036], [3181, 1035], [3191, 1035], [3194, 1032], [3194, 1031], [3195, 1030], [3195, 1021], [3191, 1017], [3189, 1017], [3188, 1016], [3173, 1016], [3172, 1017], [3153, 1017], [3152, 1016], [3152, 1014], [3150, 1012], [3150, 1004], [3152, 1002], [3172, 1002], [3172, 1000], [3173, 999], [3191, 999], [3194, 996], [3194, 995], [3195, 994], [3195, 985], [3191, 981], [3190, 981], [3189, 980], [3178, 980], [3176, 978], [3152, 978], [3151, 977], [3151, 968], [3153, 966], [3169, 966], [3169, 964], [3170, 963], [3191, 963], [3194, 960], [3194, 959], [3195, 958], [3195, 949], [3191, 945], [3187, 945], [3186, 944], [3170, 944], [3169, 945], [3152, 945], [3151, 944], [3151, 942], [3150, 941], [3150, 932], [3151, 931], [3159, 931], [3160, 930], [3168, 930], [3168, 929], [3169, 928], [3188, 928], [3189, 927], [3191, 927], [3196, 922], [3198, 922], [3198, 914], [3196, 914], [3191, 909], [3189, 909], [3188, 908], [3167, 908], [3166, 909], [3164, 909], [3163, 910], [3155, 910], [3154, 911], [3152, 911], [3151, 912], [3151, 913], [3150, 914], [3148, 914], [3146, 912], [3146, 910], [3145, 909], [3145, 908], [3144, 907], [3133, 907], [3132, 906], [3128, 906], [3124, 902], [3123, 902], [3120, 899], [3118, 899], [3115, 896], [3115, 893], [3114, 892], [3113, 892], [3112, 891], [3110, 891], [3109, 892], [3106, 892], [3105, 891], [3104, 891], [3101, 888], [3101, 881], [3103, 879], [3103, 865], [3100, 862], [3100, 840], [3099, 839], [3098, 839], [3097, 838], [3097, 835], [3098, 834], [3098, 817], [3097, 816], [3097, 815], [3092, 810], [3092, 807], [3084, 807], [3084, 809], [3083, 810], [3083, 811], [3080, 814], [3080, 816], [3079, 817], [3079, 854], [3078, 855], [3077, 855], [3077, 863], [3074, 866], [3067, 866], [3064, 863], [3064, 840], [3063, 839], [3062, 839], [3061, 838], [3061, 836], [3062, 835], [3062, 817], [3061, 816], [3061, 814], [3056, 809], [3056, 807], [3048, 807], [3048, 810], [3044, 814], [3044, 816], [3043, 817], [3043, 853], [3042, 854], [3041, 854], [3041, 867], [3040, 868], [3033, 868], [3032, 867], [3032, 866], [3031, 865], [3029, 865], [3028, 864], [3028, 842], [3027, 841], [3027, 840], [3026, 840], [3025, 839], [3025, 836], [3026, 835], [3026, 816], [3025, 815], [3025, 814], [3021, 810], [3021, 807], [3013, 807], [3013, 809], [3010, 812], [3010, 813], [3008, 815], [3008, 816], [3007, 817], [3007, 839], [3008, 840], [3008, 853], [3007, 854], [3006, 854], [3005, 855], [3005, 867], [3004, 868], [2997, 868], [2994, 865], [2993, 865], [2992, 864], [2992, 840], [2990, 838], [2990, 816], [2989, 815], [2989, 814], [2987, 812], [2987, 810], [2985, 810], [2983, 808], [2983, 807], [2978, 807], [2978, 808], [2976, 810], [2975, 810], [2975, 812], [2972, 815], [2972, 852], [2971, 853], [2970, 853], [2970, 863], [2968, 865], [2959, 865], [2956, 862], [2956, 858], [2957, 857], [2957, 840], [2956, 839], [2955, 839], [2954, 838], [2954, 835], [2955, 834], [2955, 817], [2953, 815], [2953, 814], [2951, 812], [2951, 810], [2939, 810], [2939, 812], [2937, 814], [2937, 817], [2936, 818], [2936, 837], [2937, 838], [2937, 851], [2938, 851], [2939, 852], [2939, 859], [2938, 860], [2934, 860], [2934, 866], [2932, 868], [2925, 868], [2920, 863], [2920, 840], [2918, 838], [2918, 835], [2919, 834], [2919, 817], [2917, 815], [2917, 814], [2915, 812], [2915, 811], [2914, 810], [2905, 810], [2903, 812], [2903, 813], [2901, 815], [2901, 816], [2900, 817], [2900, 839], [2899, 840], [2898, 840], [2898, 867], [2897, 868], [2889, 868], [2888, 867], [2888, 866], [2885, 863], [2885, 843], [2884, 842], [2884, 840], [2883, 839], [2883, 816], [2878, 811], [2869, 811], [2866, 814], [2866, 815], [2865, 816], [2865, 854], [2864, 855], [2863, 855], [2862, 856], [2862, 867], [2861, 868], [2853, 868], [2852, 867], [2852, 866], [2849, 863], [2849, 840], [2847, 838], [2847, 816], [2843, 812], [2843, 811], [2842, 810], [2842, 807]]]",IC
5,pcb_17b_cc_11.png,"[[[3254, 821], [3254, 822], [3253, 823], [3252, 823], [3251, 824], [3251, 853], [3250, 854], [3243, 854], [3243, 909], [3244, 909], [3245, 910], [3245, 927], [3246, 928], [3251, 928], [3252, 929], [3252, 943], [3251, 944], [3251, 954], [3253, 956], [3257, 956], [3258, 957], [3258, 960], [3266, 960], [3266, 958], [3269, 955], [3272, 955], [3273, 954], [3273, 941], [3272, 940], [3272, 932], [3273, 931], [3273, 929], [3274, 928], [3286, 928], [3287, 929], [3287, 932], [3288, 933], [3288, 938], [3287, 939], [3287, 955], [3292, 955], [3293, 956], [3293, 960], [3301, 960], [3301, 958], [3304, 955], [3308, 955], [3308, 939], [3307, 938], [3307, 930], [3308, 929], [3309, 929], [3310, 928], [3322, 928], [3323, 929], [3325, 929], [3326, 930], [3326, 932], [3325, 933], [3325, 934], [3324, 935], [3324, 937], [3323, 938], [3323, 941], [3322, 942], [3322, 954], [3323, 955], [3326, 955], [3328, 957], [3328, 960], [3331, 960], [3331, 959], [3333, 957], [3337, 957], [3339, 955], [3343, 955], [3343, 946], [3342, 945], [3342, 936], [3341, 935], [3341, 934], [3340, 933], [3340, 930], [3342, 928], [3356, 928], [3357, 929], [3357, 955], [3377, 955], [3378, 954], [3378, 939], [3379, 938], [3379, 936], [3380, 935], [3380, 929], [3382, 927], [3389, 927], [3390, 926], [3390, 916], [3391, 915], [3393, 915], [3393, 870], [3391, 870], [3390, 869], [3390, 856], [3388, 854], [3378, 854], [3377, 853], [3377, 850], [3375, 848], [3375, 845], [3376, 844], [3376, 842], [3377, 841], [3377, 833], [3378, 832], [3378, 824], [3366, 824], [3365, 823], [3365, 821], [3360, 821], [3360, 822], [3358, 824], [3357, 824], [3356, 825], [3356, 832], [3357, 833], [3357, 837], [3358, 838], [3358, 846], [3361, 849], [3361, 851], [3360, 852], [3359, 852], [3357, 854], [3343, 854], [3342, 853], [3342, 830], [3343, 829], [3343, 825], [3342, 824], [3336, 824], [3335, 825], [3330, 825], [3329, 824], [3329, 823], [3325, 823], [3324, 824], [3322, 824], [3321, 825], [3321, 832], [3322, 833], [3322, 853], [3320, 855], [3309, 855], [3308, 854], [3307, 854], [3306, 853], [3306, 846], [3307, 845], [3307, 840], [3308, 839], [3308, 826], [3306, 824], [3298, 824], [3296, 822], [3296, 821], [3290, 821], [3290, 822], [3289, 823], [3288, 823], [3286, 825], [3286, 841], [3287, 842], [3287, 854], [3286, 855], [3274, 855], [3273, 854], [3273, 825], [3270, 822], [3270, 821]]]",RN
6,pcb_17b_cc_11.png,"[[[3501, 826], [3501, 827], [3499, 829], [3496, 829], [3496, 852], [3497, 853], [3497, 857], [3496, 858], [3484, 858], [3482, 856], [3482, 830], [3478, 830], [3476, 828], [3466, 828], [3465, 829], [3462, 829], [3461, 830], [3461, 849], [3462, 850], [3462, 857], [3461, 858], [3452, 858], [3452, 931], [3458, 931], [3459, 932], [3459, 940], [3461, 942], [3461, 960], [3463, 962], [3463, 963], [3464, 964], [3464, 965], [3476, 965], [3476, 963], [3478, 961], [3481, 961], [3482, 960], [3482, 942], [3481, 941], [3481, 936], [3482, 935], [3482, 934], [3483, 933], [3483, 932], [3484, 931], [3494, 931], [3495, 932], [3495, 934], [3497, 936], [3497, 942], [3496, 943], [3496, 960], [3497, 961], [3499, 961], [3500, 962], [3500, 965], [3505, 965], [3505, 964], [3506, 963], [3513, 963], [3515, 961], [3517, 961], [3518, 960], [3518, 950], [3517, 949], [3517, 932], [3518, 931], [3533, 931], [3534, 932], [3534, 935], [3533, 936], [3533, 937], [3532, 938], [3532, 948], [3531, 949], [3531, 960], [3532, 961], [3534, 961], [3535, 962], [3535, 965], [3548, 965], [3548, 962], [3549, 961], [3550, 961], [3551, 960], [3552, 960], [3553, 959], [3553, 951], [3552, 950], [3552, 941], [3551, 940], [3551, 933], [3553, 931], [3570, 931], [3571, 932], [3571, 934], [3569, 936], [3569, 938], [3568, 939], [3568, 942], [3567, 943], [3567, 945], [3566, 946], [3566, 960], [3567, 961], [3569, 961], [3570, 962], [3570, 965], [3583, 965], [3583, 963], [3585, 961], [3586, 961], [3587, 960], [3587, 959], [3588, 958], [3588, 950], [3587, 949], [3587, 933], [3589, 931], [3596, 931], [3596, 897], [3595, 897], [3594, 896], [3594, 873], [3595, 872], [3596, 872], [3596, 859], [3590, 859], [3587, 856], [3587, 854], [3586, 853], [3586, 838], [3587, 837], [3587, 830], [3573, 830], [3572, 829], [3567, 829], [3566, 830], [3566, 838], [3567, 839], [3567, 849], [3568, 850], [3568, 853], [3567, 854], [3567, 856], [3565, 858], [3554, 858], [3552, 856], [3552, 848], [3553, 847], [3553, 830], [3552, 829], [3547, 829], [3546, 828], [3541, 828], [3540, 827], [3540, 826], [3537, 826], [3537, 827], [3535, 829], [3531, 829], [3531, 843], [3532, 844], [3532, 856], [3530, 858], [3517, 858], [3516, 857], [3516, 853], [3517, 852], [3517, 830], [3513, 830], [3511, 828], [3511, 826]]]",RN
7,pcb_17b_cc_11.png,"[[[3751, 836], [3751, 837], [3749, 839], [3748, 839], [3747, 840], [3746, 840], [3745, 841], [3745, 856], [3746, 857], [3746, 868], [3745, 869], [3730, 869], [3729, 868], [3729, 866], [3730, 865], [3730, 864], [3731, 863], [3731, 851], [3732, 850], [3732, 841], [3727, 841], [3726, 840], [3723, 840], [3722, 839], [3717, 839], [3716, 840], [3711, 840], [3711, 859], [3712, 860], [3712, 863], [3711, 864], [3711, 867], [3709, 869], [3697, 869], [3696, 868], [3696, 860], [3697, 859], [3697, 842], [3696, 841], [3693, 841], [3691, 839], [3689, 839], [3688, 840], [3685, 840], [3684, 839], [3684, 838], [3682, 838], [3680, 840], [3677, 840], [3676, 841], [3676, 855], [3677, 856], [3677, 864], [3678, 865], [3678, 868], [3677, 869], [3667, 869], [3667, 943], [3668, 943], [3669, 944], [3675, 944], [3676, 945], [3676, 947], [3674, 949], [3674, 951], [3676, 953], [3676, 972], [3677, 973], [3679, 973], [3680, 974], [3680, 976], [3693, 976], [3693, 974], [3695, 972], [3697, 972], [3697, 956], [3696, 955], [3696, 948], [3697, 947], [3697, 945], [3698, 944], [3710, 944], [3711, 945], [3712, 945], [3713, 946], [3713, 949], [3712, 950], [3712, 958], [3711, 959], [3711, 972], [3713, 972], [3714, 973], [3714, 974], [3715, 975], [3715, 976], [3727, 976], [3727, 974], [3729, 972], [3731, 972], [3732, 971], [3732, 954], [3731, 953], [3731, 952], [3730, 951], [3730, 947], [3733, 944], [3748, 944], [3749, 945], [3749, 949], [3748, 950], [3748, 952], [3747, 953], [3747, 960], [3746, 961], [3746, 971], [3747, 972], [3748, 972], [3750, 974], [3750, 976], [3754, 976], [3754, 975], [3756, 973], [3759, 973], [3760, 974], [3760, 976], [3762, 976], [3762, 974], [3764, 972], [3767, 972], [3767, 961], [3768, 960], [3768, 957], [3766, 955], [3766, 951], [3765, 950], [3765, 949], [3764, 948], [3764, 946], [3765, 945], [3767, 945], [3769, 943], [3780, 943], [3781, 944], [3781, 972], [3783, 972], [3785, 974], [3785, 976], [3798, 976], [3798, 973], [3797, 972], [3797, 969], [3798, 968], [3798, 965], [3797, 964], [3797, 962], [3796, 961], [3796, 954], [3798, 952], [3798, 944], [3799, 943], [3803, 943], [3804, 942], [3811, 942], [3811, 927], [3810, 927], [3809, 926], [3809, 904], [3810, 903], [3811, 903], [3811, 872], [3807, 872], [3806, 871], [3804, 871], [3803, 870], [3803, 869], [3802, 868], [3802, 841], [3799, 841], [3795, 837], [3795, 836], [3786, 836], [3786, 837], [3784, 839], [3782, 839], [3780, 841], [3780, 862], [3781, 863], [3781, 867], [3779, 869], [3765, 869], [3764, 868], [3764, 866], [3766, 864], [3766, 855], [3767, 854], [3767, 842], [3766, 841], [3763, 841], [3760, 838], [3757, 838], [3756, 837], [3756, 836]]]",RN
8,pcb_17b_cc_11.png,"[[[4105, 937], [4105, 938], [4103, 940], [4103, 996], [4104, 997], [4104, 1009], [4105, 1010], [4105, 1018], [4106, 1019], [4106, 1020], [4152, 1020], [4153, 1019], [4156, 1019], [4156, 1018], [4157, 1017], [4157, 939], [4155, 937]]]",C
9,pcb_17b_cc_11.png,"[[[3603, 1122], [3603, 1123], [3602, 1124], [3601, 1124], [3601, 1170], [3602, 1170], [3604, 1172], [3604, 1174], [3605, 1174], [3607, 1176], [3607, 1177], [3671, 1177], [3671, 1176], [3672, 1175], [3683, 1175], [3684, 1174], [3684, 1173], [3685, 1172], [3686, 1172], [3686, 1126], [3685, 1126], [3684, 1125], [3684, 1122]]]",C
