Instance ID,Image File,Vertices,Designator
0,pcb_7b_cc_3.png,"[[[3975, 3086], [3974, 3087], [3962, 3087], [3961, 3088], [3960, 3088], [3960, 3103], [3961, 3103], [3962, 3104], [3973, 3104], [3974, 3103], [3992, 3103], [3993, 3102], [3994, 3102], [3994, 3087], [3993, 3087], [3992, 3086]]]",C
1,pcb_7b_cc_3.png,"[[[3979, 2928], [3978, 2929], [3961, 2929], [3961, 2946], [3978, 2946], [3979, 2945], [3996, 2945], [3996, 2943], [3997, 2942], [3998, 2942], [3999, 2941], [3999, 2931], [3998, 2930], [3997, 2930], [3996, 2929], [3996, 2928]]]",R
2,pcb_7b_cc_3.png,"[[[4203, 2832], [4202, 2833], [4201, 2833], [4201, 2859], [4202, 2859], [4203, 2860], [4257, 2860], [4258, 2859], [4259, 2859], [4259, 2833], [4258, 2833], [4257, 2832]]]",C
3,pcb_7b_cc_3.png,"[[[4197, 2749], [4196, 2750], [4195, 2750], [4195, 2765], [4196, 2765], [4197, 2766], [4227, 2766], [4228, 2765], [4229, 2765], [4229, 2750], [4228, 2750], [4227, 2749]]]",C
4,pcb_7b_cc_3.png,"[[[4263, 2685], [4262, 2686], [4261, 2686], [4261, 2719], [4262, 2719], [4263, 2720], [4277, 2720], [4278, 2719], [4279, 2719], [4279, 2686], [4278, 2686], [4277, 2685]]]",R
5,pcb_7b_cc_3.png,"[[[4192, 2686], [4191, 2687], [4190, 2687], [4190, 2703], [4191, 2703], [4192, 2704], [4225, 2704], [4226, 2703], [4227, 2703], [4227, 2687], [4226, 2687], [4225, 2686]]]",R
6,pcb_7b_cc_3.png,"[[[4076, 2613], [4075, 2614], [4074, 2614], [4074, 2628], [4075, 2628], [4076, 2629], [4106, 2629], [4107, 2628], [4108, 2628], [4108, 2614], [4107, 2614], [4106, 2613]]]",C
7,pcb_7b_cc_3.png,"[[[3999, 2611], [3998, 2612], [3997, 2612], [3997, 2628], [3998, 2628], [3999, 2629], [4028, 2629], [4029, 2628], [4030, 2628], [4030, 2612], [4029, 2612], [4028, 2611]]]",C
8,pcb_7b_cc_3.png,"[[[3913, 2643], [3912, 2644], [3911, 2644], [3911, 2661], [3912, 2661], [3913, 2662], [3943, 2662], [3944, 2661], [3945, 2661], [3945, 2644], [3944, 2644], [3943, 2643]]]",C
9,pcb_7b_cc_3.png,"[[[3893, 2690], [3892, 2691], [3891, 2691], [3891, 2696], [3892, 2697], [3892, 2708], [3893, 2708], [3894, 2709], [3928, 2709], [3929, 2708], [3930, 2708], [3930, 2694], [3929, 2693], [3929, 2691], [3928, 2691], [3927, 2690]]]",R
10,pcb_7b_cc_3.png,"[[[4118, 2380], [4117, 2381], [4116, 2381], [4116, 2415], [4117, 2415], [4118, 2416], [4135, 2416], [4136, 2415], [4137, 2415], [4137, 2381], [4136, 2381], [4135, 2380]]]",R
11,pcb_7b_cc_3.png,"[[[4039, 2358], [4038, 2359], [4037, 2359], [4037, 2392], [4038, 2393], [4039, 2393], [4040, 2394], [4058, 2394], [4059, 2393], [4060, 2393], [4060, 2387], [4059, 2386], [4059, 2359], [4058, 2359], [4057, 2358]]]",R
12,pcb_7b_cc_3.png,"[[[3948, 2412], [3947, 2413], [3926, 2413], [3925, 2414], [3924, 2414], [3924, 2429], [3925, 2429], [3926, 2430], [3949, 2430], [3950, 2429], [3958, 2429], [3959, 2428], [3960, 2428], [3960, 2413], [3959, 2413], [3958, 2412]]]",R
13,pcb_7b_cc_3.png,"[[[4050, 2433], [4049, 2434], [4048, 2434], [4048, 2449], [4049, 2449], [4050, 2450], [4083, 2450], [4084, 2449], [4085, 2449], [4085, 2434], [4084, 2434], [4083, 2433]]]",R
14,pcb_7b_cc_3.png,"[[[4009, 2966], [4008, 2967], [4007, 2967], [4007, 2970], [4008, 2971], [4008, 2972], [4007, 2973], [4006, 2973], [4005, 2974], [3987, 2974], [3986, 2975], [3985, 2975], [3985, 2989], [3986, 2989], [3987, 2990], [4004, 2990], [4005, 2991], [4006, 2991], [4007, 2992], [4007, 3020], [4008, 3020], [4009, 3021], [4009, 3043], [4008, 3044], [4007, 3044], [4006, 3045], [3988, 3045], [3987, 3046], [3986, 3046], [3986, 3060], [3987, 3060], [3988, 3061], [3989, 3060], [4005, 3060], [4006, 3061], [4007, 3061], [4008, 3062], [4008, 3070], [4009, 3070], [4010, 3071], [4064, 3071], [4065, 3070], [4066, 3070], [4066, 3062], [4067, 3061], [4068, 3061], [4069, 3060], [4088, 3060], [4089, 3059], [4090, 3059], [4090, 3047], [4089, 3047], [4088, 3046], [4068, 3046], [4067, 3045], [4066, 3045], [4065, 3044], [4065, 3027], [4066, 3026], [4067, 3026], [4068, 3025], [4087, 3025], [4088, 3024], [4089, 3024], [4089, 3009], [4088, 3009], [4087, 3008], [4068, 3008], [4067, 3007], [4066, 3007], [4065, 3006], [4065, 2992], [4066, 2991], [4067, 2991], [4068, 2990], [4087, 2990], [4088, 2989], [4089, 2989], [4089, 2975], [4088, 2975], [4087, 2974], [4067, 2974], [4066, 2973], [4065, 2973], [4064, 2972], [4064, 2967], [4063, 2967], [4062, 2966]]]",IC
