Instance ID,Image File,Vertices,Designator
0,pcb_31b_cc_19.png,"[[[1069, 1428], [1070, 1432], [1073, 1435], [1077, 1436], [1094, 1436], [1097, 1435], [1099, 1434], [1100, 1431], [1099, 1391], [1098, 1388], [1095, 1386], [1092, 1386], [1078, 1386], [1075, 1387], [1072, 1388], [1070, 1390], [1069, 1392], [1069, 1395]]]",C
1,pcb_31b_cc_19.png,"[[[1856, 3428], [1857, 3429], [1856, 3471], [1855, 3472], [1776, 3472], [1774, 3470], [1774, 3429], [1776, 3428]]]",R
2,pcb_31b_cc_19.png,"[[[2559, 3301], [2559, 3302], [2559, 3345], [2558, 3346], [2478, 3346], [2477, 3344], [2475, 3303], [2477, 3302]]]",R
3,pcb_31b_cc_19.png,"[[[1973, 3116], [1972, 3117], [1972, 3130], [1975, 3135], [1975, 3183], [1972, 3186], [1972, 3201], [1973, 3202], [2012, 3201], [2013, 3200], [2015, 3197], [2015, 3120], [2015, 3119], [2012, 3116], [2010, 3116]]]",R
4,pcb_31b_cc_19.png,"[[[1902, 3122], [1903, 3120], [1944, 3120], [1946, 3122], [1945, 3196], [1945, 3198], [1945, 3205], [1902, 3206], [1901, 3205], [1901, 3199]]]",R
5,pcb_31b_cc_19.png,"[[[1831, 3118], [1829, 3119], [1829, 3131], [1831, 3133], [1831, 3184], [1829, 3185], [1828, 3202], [1830, 3203], [1869, 3202], [1871, 3200], [1871, 3189], [1870, 3186], [1870, 3134], [1871, 3130], [1871, 3121], [1869, 3118], [1867, 3117]]]",R
6,pcb_31b_cc_19.png,"[[[1760, 3118], [1758, 3119], [1757, 3195], [1758, 3199], [1758, 3202], [1760, 3203], [1798, 3203], [1799, 3203], [1800, 3201], [1801, 3141], [1802, 3119], [1802, 3118], [1801, 3117], [1797, 3117]]]",R
7,pcb_31b_cc_19.png,"[[[1730, 3121], [1729, 3119], [1728, 3119], [1690, 3118], [1688, 3119], [1687, 3121], [1686, 3195], [1687, 3197], [1689, 3203], [1727, 3204], [1729, 3201], [1730, 3194], [1730, 3135]]]",R
8,pcb_31b_cc_19.png,"[[[2590, 2743], [2591, 2744], [2591, 2822], [2591, 2823], [2591, 2824], [2590, 2825], [2552, 2826], [2550, 2826], [2549, 2825], [2548, 2822], [2548, 2748], [2548, 2745], [2548, 2744], [2549, 2742], [2550, 2742], [2554, 2742], [2584, 2742], [2587, 2742], [2588, 2742], [2590, 2742]]]",R
9,pcb_31b_cc_19.png,"[[[2514, 2738], [2481, 2739], [2479, 2739], [2477, 2741], [2477, 2743], [2478, 2747], [2477, 2798], [2478, 2817], [2480, 2823], [2481, 2824], [2483, 2825], [2486, 2826], [2518, 2825], [2519, 2824], [2520, 2823], [2520, 2815], [2520, 2741], [2518, 2739], [2517, 2738]]]",R
10,pcb_31b_cc_19.png,"[[[2422, 2760], [2414, 2760], [2410, 2763], [2409, 2766], [2408, 2767], [2409, 2807], [2410, 2809], [2411, 2811], [2412, 2812], [2415, 2812], [2417, 2813], [2427, 2813], [2437, 2812], [2440, 2812], [2441, 2811], [2441, 2810], [2441, 2809], [2442, 2806], [2440, 2802], [2440, 2768], [2439, 2763], [2439, 2760], [2436, 2760], [2430, 2759]]]",C
11,pcb_31b_cc_19.png,"[[[2237, 2758], [2220, 2758], [2217, 2759], [2215, 2760], [2214, 2761], [2212, 2764], [2212, 2764], [2213, 2804], [2214, 2806], [2214, 2807], [2215, 2809], [2216, 2809], [2216, 2810], [2218, 2810], [2219, 2810], [2240, 2810], [2244, 2809], [2245, 2808], [2246, 2807], [2246, 2805], [2247, 2790], [2246, 2767], [2246, 2762], [2246, 2761], [2245, 2760], [2244, 2759], [2243, 2759], [2240, 2758]]]",C
12,pcb_31b_cc_19.png,"[[[2143, 2759], [2128, 2759], [2126, 2760], [2124, 2760], [2123, 2762], [2122, 2763], [2121, 2765], [2121, 2767], [2122, 2770], [2122, 2801], [2121, 2803], [2120, 2805], [2121, 2811], [2122, 2811], [2122, 2812], [2124, 2813], [2125, 2814], [2127, 2814], [2151, 2813], [2153, 2813], [2153, 2812], [2155, 2810], [2156, 2807], [2155, 2804], [2155, 2803], [2153, 2801], [2153, 2768], [2154, 2767], [2154, 2766], [2155, 2764], [2154, 2762], [2153, 2760], [2151, 2759], [2148, 2759]]]",C
13,pcb_31b_cc_19.png,"[[[2050, 2760], [2049, 2762], [2049, 2808], [2050, 2810], [2051, 2811], [2054, 2812], [2075, 2811], [2078, 2811], [2080, 2809], [2081, 2808], [2080, 2776], [2080, 2768], [2079, 2760], [2078, 2760], [2077, 2759], [2052, 2760]]]",C
14,pcb_31b_cc_19.png,"[[[2460, 2526], [2501, 2526], [2502, 2527], [2502, 2601], [2501, 2602], [2460, 2602], [2459, 2601], [2459, 2527]]]",R
