Instance ID,Image File,Vertices,Designator
0,pcb_9b_cc_9.png,"[[[4876, 989], [4876, 991], [4875, 992], [4874, 992], [4874, 996], [4873, 997], [4873, 1017], [4926, 1017], [4926, 1016], [4927, 1015], [4928, 1015], [4928, 1003], [4927, 1002], [4927, 1001], [4928, 1000], [4928, 994], [4926, 994], [4925, 993], [4925, 989]]]",C
1,pcb_9b_cc_9.png,"[[[3965, 988], [3964, 989], [3957, 989], [3956, 990], [3912, 990], [3911, 991], [3910, 991], [3908, 993], [3908, 1028], [3909, 1029], [3909, 1032], [3911, 1034], [3911, 1035], [3912, 1036], [3913, 1035], [3914, 1036], [3922, 1036], [3924, 1034], [3961, 1034], [3962, 1035], [3976, 1035], [3976, 1034], [3977, 1033], [3979, 1033], [3979, 1000], [3978, 999], [3978, 991], [3977, 990], [3977, 989], [3974, 989], [3973, 988]]]",R
2,pcb_9b_cc_9.png,"[[[3978, 1071], [3978, 1085], [3977, 1086], [3977, 1103], [3978, 1104], [3978, 1105], [4017, 1105], [4018, 1106], [4033, 1106], [4033, 1100], [4034, 1099], [4034, 1074], [4024, 1074], [4023, 1073], [4000, 1073], [3999, 1072], [3999, 1071]]]",R
3,pcb_9b_cc_9.png,"[[[3977, 1146], [3977, 1179], [4033, 1179], [4033, 1146]]]",R
4,pcb_9b_cc_9.png,"[[[3649, 1429], [3648, 1430], [3647, 1430], [3646, 1431], [3585, 1431], [3584, 1432], [3571, 1432], [3570, 1431], [3570, 1430], [3564, 1430], [3563, 1431], [3560, 1431], [3559, 1432], [3556, 1432], [3555, 1433], [3555, 1437], [3554, 1438], [3553, 1438], [3553, 1483], [3554, 1483], [3555, 1484], [3555, 1485], [3556, 1486], [3556, 1487], [3557, 1488], [3574, 1488], [3575, 1487], [3627, 1487], [3627, 1486], [3628, 1485], [3638, 1485], [3639, 1486], [3642, 1486], [3643, 1487], [3657, 1487], [3658, 1488], [3659, 1488], [3660, 1487], [3660, 1486], [3661, 1485], [3662, 1485], [3666, 1481], [3667, 1481], [3667, 1435], [3666, 1435], [3665, 1434], [3665, 1433], [3664, 1432], [3664, 1431], [3663, 1431], [3662, 1430], [3659, 1430], [3658, 1429]]]",C
5,pcb_9b_cc_9.png,"[[[3567, 1575], [3566, 1576], [3565, 1576], [3564, 1577], [3557, 1577], [3556, 1578], [3555, 1578], [3555, 1579], [3554, 1580], [3553, 1580], [3553, 1600], [3554, 1601], [3554, 1626], [3555, 1626], [3556, 1627], [3556, 1628], [3557, 1629], [3557, 1630], [3558, 1631], [3663, 1631], [3664, 1630], [3664, 1629], [3665, 1628], [3666, 1628], [3666, 1580], [3664, 1580], [3661, 1577], [3658, 1577], [3657, 1576], [3646, 1576], [3645, 1575], [3632, 1575], [3631, 1576], [3570, 1576], [3569, 1575]]]",C
6,pcb_9b_cc_9.png,"[[[2956, 1156], [2955, 1157], [2951, 1157], [2949, 1159], [2949, 1162], [2948, 1163], [2948, 1230], [2947, 1231], [2947, 1250], [2950, 1250], [2951, 1251], [2951, 1252], [2952, 1253], [2967, 1253], [2968, 1252], [2968, 1251], [2970, 1249], [2972, 1249], [2973, 1250], [2976, 1250], [2977, 1251], [2980, 1251], [2981, 1250], [3037, 1250], [3038, 1249], [3044, 1249], [3045, 1248], [3048, 1248], [3049, 1249], [3049, 1250], [3050, 1251], [3050, 1252], [3051, 1253], [3059, 1253], [3059, 1252], [3060, 1251], [3060, 1250], [3061, 1249], [3061, 1248], [3062, 1247], [3062, 1246], [3064, 1244], [3065, 1244], [3065, 1209], [3064, 1208], [3064, 1187], [3065, 1186], [3065, 1164], [3064, 1164], [3061, 1161], [3060, 1161], [3059, 1160], [3059, 1159], [3058, 1158], [2964, 1158], [2962, 1156]]]",C
7,pcb_9b_cc_9.png,"[[[2152, 1339], [2151, 1340], [2150, 1340], [2150, 1369], [2149, 1370], [2148, 1370], [2147, 1371], [2146, 1371], [2146, 1385], [2147, 1386], [2146, 1387], [2141, 1387], [2140, 1386], [2140, 1385], [2135, 1385], [2134, 1386], [2115, 1386], [2114, 1385], [2114, 1366], [2115, 1365], [2122, 1365], [2122, 1340], [2099, 1340], [2099, 1358], [2098, 1359], [2098, 1383], [2097, 1384], [2096, 1383], [2096, 1382], [2094, 1382], [2094, 1383], [2089, 1388], [2086, 1388], [2084, 1390], [2082, 1390], [2081, 1389], [2079, 1389], [2079, 1390], [2078, 1391], [2076, 1391], [2076, 1415], [2075, 1416], [2075, 1439], [2074, 1440], [2074, 1488], [2073, 1489], [2073, 1506], [2074, 1507], [2074, 1585], [2073, 1586], [2073, 1595], [2075, 1595], [2076, 1596], [2076, 1639], [2075, 1640], [2075, 1671], [2088, 1671], [2089, 1672], [2096, 1672], [2097, 1673], [2097, 1698], [2099, 1698], [2100, 1699], [2100, 1751], [2106, 1751], [2107, 1750], [2121, 1750], [2121, 1702], [2116, 1702], [2115, 1701], [2115, 1679], [2116, 1678], [2122, 1678], [2122, 1677], [2123, 1676], [2138, 1676], [2139, 1677], [2139, 1680], [2142, 1680], [2143, 1681], [2143, 1691], [2144, 1692], [2144, 1699], [2145, 1699], [2149, 1703], [2149, 1704], [2150, 1705], [2150, 1707], [2149, 1708], [2149, 1719], [2150, 1720], [2150, 1724], [2151, 1725], [2151, 1726], [2164, 1726], [2164, 1725], [2165, 1724], [2165, 1719], [2166, 1718], [2166, 1710], [2167, 1709], [2166, 1708], [2166, 1697], [2163, 1697], [2162, 1696], [2162, 1678], [2163, 1677], [2168, 1677], [2168, 1675], [2169, 1674], [2190, 1674], [2191, 1675], [2191, 1688], [2192, 1688], [2193, 1689], [2193, 1702], [2194, 1703], [2194, 1714], [2196, 1716], [2196, 1717], [2197, 1718], [2197, 1724], [2198, 1725], [2198, 1726], [2212, 1726], [2213, 1727], [2214, 1727], [2214, 1695], [2213, 1695], [2212, 1694], [2212, 1690], [2210, 1690], [2209, 1689], [2209, 1682], [2208, 1681], [2208, 1675], [2209, 1674], [2216, 1674], [2216, 1673], [2217, 1672], [2237, 1672], [2238, 1673], [2238, 1689], [2237, 1690], [2237, 1691], [2238, 1691], [2239, 1692], [2239, 1715], [2240, 1716], [2240, 1725], [2244, 1725], [2245, 1726], [2249, 1726], [2250, 1727], [2254, 1727], [2255, 1726], [2259, 1726], [2259, 1725], [2260, 1724], [2260, 1715], [2261, 1714], [2260, 1713], [2261, 1712], [2262, 1712], [2263, 1711], [2262, 1710], [2262, 1695], [2259, 1695], [2258, 1694], [2258, 1677], [2259, 1676], [2263, 1676], [2263, 1675], [2264, 1674], [2284, 1674], [2286, 1676], [2286, 1710], [2289, 1710], [2290, 1711], [2290, 1712], [2291, 1713], [2291, 1716], [2292, 1717], [2292, 1724], [2293, 1725], [2293, 1726], [2297, 1726], [2298, 1727], [2301, 1727], [2302, 1726], [2306, 1726], [2306, 1725], [2307, 1724], [2307, 1715], [2308, 1714], [2308, 1713], [2309, 1712], [2309, 1696], [2306, 1696], [2305, 1695], [2305, 1685], [2304, 1684], [2304, 1677], [2305, 1676], [2315, 1676], [2315, 1673], [2316, 1672], [2329, 1672], [2330, 1673], [2330, 1709], [2335, 1709], [2336, 1710], [2336, 1711], [2337, 1712], [2337, 1715], [2338, 1716], [2338, 1717], [2339, 1718], [2339, 1724], [2340, 1725], [2340, 1726], [2344, 1726], [2345, 1727], [2351, 1727], [2352, 1726], [2354, 1726], [2354, 1724], [2355, 1723], [2355, 1691], [2352, 1691], [2351, 1690], [2351, 1676], [2352, 1675], [2358, 1675], [2358, 1674], [2359, 1673], [2370, 1673], [2370, 1672], [2371, 1671], [2377, 1671], [2378, 1672], [2378, 1697], [2379, 1698], [2379, 1703], [2382, 1703], [2383, 1704], [2383, 1713], [2382, 1714], [2380, 1714], [2380, 1715], [2383, 1715], [2384, 1716], [2384, 1727], [2403, 1727], [2403, 1715], [2404, 1714], [2404, 1713], [2405, 1712], [2405, 1693], [2401, 1693], [2400, 1692], [2400, 1677], [2401, 1676], [2418, 1676], [2419, 1677], [2425, 1677], [2426, 1678], [2426, 1703], [2427, 1703], [2428, 1704], [2428, 1709], [2430, 1709], [2431, 1710], [2431, 1711], [2432, 1712], [2432, 1713], [2433, 1714], [2433, 1715], [2434, 1716], [2434, 1717], [2435, 1718], [2435, 1725], [2436, 1726], [2436, 1727], [2450, 1727], [2451, 1728], [2451, 1729], [2452, 1730], [2454, 1730], [2453, 1730], [2452, 1729], [2452, 1702], [2451, 1701], [2451, 1690], [2446, 1690], [2445, 1689], [2445, 1676], [2446, 1675], [2453, 1675], [2454, 1674], [2473, 1674], [2474, 1675], [2474, 1696], [2475, 1696], [2476, 1697], [2476, 1708], [2478, 1708], [2479, 1709], [2479, 1728], [2498, 1728], [2498, 1719], [2499, 1718], [2499, 1705], [2498, 1704], [2498, 1694], [2495, 1694], [2494, 1693], [2494, 1675], [2495, 1674], [2508, 1674], [2509, 1673], [2520, 1673], [2521, 1674], [2521, 1685], [2522, 1685], [2523, 1686], [2523, 1710], [2525, 1710], [2526, 1711], [2526, 1712], [2527, 1712], [2529, 1714], [2529, 1715], [2530, 1716], [2530, 1725], [2531, 1726], [2531, 1727], [2538, 1727], [2539, 1726], [2543, 1726], [2543, 1725], [2544, 1724], [2544, 1713], [2543, 1713], [2542, 1712], [2542, 1675], [2543, 1674], [2563, 1674], [2564, 1675], [2564, 1678], [2567, 1678], [2568, 1679], [2568, 1702], [2570, 1702], [2572, 1704], [2572, 1706], [2574, 1708], [2574, 1709], [2575, 1710], [2575, 1725], [2576, 1726], [2576, 1727], [2590, 1727], [2590, 1726], [2591, 1725], [2591, 1704], [2590, 1703], [2590, 1702], [2591, 1701], [2591, 1685], [2592, 1684], [2614, 1684], [2615, 1685], [2615, 1693], [2616, 1693], [2617, 1694], [2618, 1694], [2619, 1695], [2619, 1698], [2621, 1698], [2622, 1699], [2622, 1708], [2623, 1709], [2623, 1730], [2638, 1730], [2638, 1729], [2639, 1728], [2640, 1728], [2640, 1702], [2639, 1702], [2638, 1701], [2638, 1698], [2637, 1697], [2637, 1695], [2635, 1695], [2634, 1694], [2634, 1693], [2633, 1692], [2633, 1671], [2634, 1670], [2642, 1670], [2644, 1672], [2644, 1673], [2646, 1673], [2646, 1672], [2647, 1671], [2648, 1671], [2649, 1670], [2650, 1670], [2651, 1669], [2652, 1669], [2652, 1668], [2653, 1667], [2653, 1666], [2652, 1665], [2652, 1651], [2653, 1650], [2653, 1579], [2654, 1578], [2654, 1483], [2653, 1482], [2653, 1443], [2654, 1442], [2654, 1404], [2653, 1403], [2653, 1394], [2652, 1393], [2652, 1392], [2651, 1391], [2650, 1391], [2647, 1388], [2646, 1388], [2644, 1386], [2640, 1386], [2638, 1384], [2638, 1365], [2639, 1364], [2641, 1364], [2641, 1351], [2642, 1350], [2642, 1340], [2621, 1340], [2621, 1348], [2622, 1349], [2622, 1370], [2621, 1371], [2620, 1371], [2620, 1372], [2619, 1373], [2619, 1381], [2618, 1382], [2617, 1382], [2617, 1385], [2616, 1386], [2591, 1386], [2590, 1385], [2590, 1373], [2591, 1372], [2592, 1372], [2592, 1368], [2593, 1367], [2593, 1340], [2576, 1340], [2576, 1366], [2575, 1367], [2573, 1367], [2573, 1372], [2572, 1373], [2572, 1382], [2571, 1383], [2568, 1383], [2567, 1384], [2564, 1384], [2563, 1385], [2556, 1385], [2555, 1386], [2546, 1386], [2545, 1385], [2545, 1367], [2546, 1366], [2549, 1366], [2550, 1365], [2549, 1364], [2549, 1363], [2548, 1362], [2548, 1353], [2547, 1352], [2547, 1350], [2548, 1349], [2548, 1341], [2528, 1341], [2528, 1349], [2529, 1350], [2529, 1353], [2528, 1354], [2528, 1355], [2527, 1356], [2523, 1356], [2523, 1380], [2522, 1381], [2503, 1381], [2502, 1380], [2502, 1350], [2501, 1349], [2501, 1347], [2500, 1346], [2501, 1345], [2502, 1345], [2501, 1344], [2501, 1341], [2479, 1341], [2479, 1358], [2478, 1359], [2477, 1359], [2477, 1364], [2476, 1365], [2476, 1373], [2475, 1374], [2475, 1380], [2474, 1381], [2472, 1381], [2471, 1382], [2453, 1382], [2452, 1381], [2452, 1379], [2453, 1378], [2458, 1378], [2455, 1378], [2454, 1377], [2454, 1374], [2453, 1373], [2453, 1341], [2432, 1341], [2432, 1356], [2431, 1357], [2430, 1357], [2430, 1376], [2429, 1377], [2427, 1377], [2427, 1383], [2426, 1384], [2408, 1384], [2407, 1383], [2407, 1378], [2404, 1378], [2403, 1377], [2403, 1370], [2404, 1369], [2405, 1369], [2405, 1341], [2383, 1341], [2383, 1349], [2384, 1350], [2384, 1356], [2383, 1357], [2383, 1371], [2382, 1372], [2381, 1372], [2381, 1382], [2380, 1383], [2361, 1383], [2360, 1382], [2360, 1381], [2353, 1381], [2352, 1380], [2352, 1373], [2353, 1372], [2357, 1372], [2357, 1341], [2339, 1341], [2339, 1343], [2338, 1344], [2338, 1345], [2337, 1346], [2335, 1346], [2335, 1373], [2334, 1374], [2333, 1374], [2333, 1380], [2332, 1381], [2316, 1381], [2315, 1380], [2310, 1380], [2309, 1379], [2309, 1363], [2310, 1362], [2311, 1362], [2311, 1341], [2292, 1341], [2292, 1356], [2291, 1357], [2291, 1358], [2290, 1359], [2289, 1359], [2289, 1366], [2288, 1367], [2286, 1367], [2286, 1377], [2285, 1378], [2266, 1378], [2265, 1377], [2265, 1363], [2264, 1362], [2264, 1357], [2262, 1355], [2262, 1354], [2261, 1353], [2261, 1348], [2262, 1347], [2263, 1347], [2263, 1341], [2243, 1341], [2242, 1342], [2242, 1351], [2241, 1352], [2240, 1352], [2240, 1359], [2239, 1360], [2239, 1365], [2238, 1366], [2238, 1377], [2237, 1378], [2218, 1378], [2217, 1377], [2217, 1349], [2216, 1348], [2216, 1340], [2197, 1340], [2197, 1364], [2196, 1365], [2193, 1365], [2192, 1366], [2191, 1365], [2191, 1379], [2190, 1380], [2186, 1380], [2183, 1383], [2180, 1383], [2179, 1384], [2169, 1384], [2168, 1385], [2165, 1385], [2164, 1384], [2164, 1364], [2165, 1363], [2170, 1363], [2170, 1347], [2169, 1346], [2169, 1339]]]",IC
8,pcb_9b_cc_9.png,"[[[3145, 1003], [3145, 1023], [3146, 1024], [3146, 1035], [3202, 1035], [3202, 1003]]]",R
9,pcb_9b_cc_9.png,"[[[3148, 1266], [3148, 1299], [3207, 1299], [3207, 1266]]]",R
